item_fat_content,item_identifier,item_type,outlet_establishment_year,outlet_identifier,outlet_location_type,outlet_size,outlet_type,item_visibility,item_weight,sales,rating,total_sales,gross_margin,net_sales
Low Fat,FDW49,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.082888496,19.5,178.6002,4.0,178.6002,35.720040000000004,142.88016
Low Fat,FDM39,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.053553794,6.42,178.6002,3.5,178.6002,35.720040000000004,142.88016
Low Fat,DRN47,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.016895293,12.1,178.566,5.0,178.566,35.7132,142.8528
Low Fat,NCP43,Others,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.030631323,17.75,178.566,4.0,178.566,35.7132,142.8528
Low Fat,DRN47,Hard Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.016823566,12.1,178.566,2.5,178.566,35.7132,142.8528
Regular,FDN04,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.014115626,11.8,178.5344,3.9,178.5344,35.706880000000005,142.82752
Regular,FDS31,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.044281996,13.1,178.5318,4.0,178.5318,35.706360000000004,142.82544000000001
Regular,FDU51,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,0.096433359,20.2,178.5028,4.4,178.5028,35.70056,142.80224
Low Fat,FDE45,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.040521714,12.1,178.5002,4.1,178.5002,35.70004,142.80016
Low Fat,FDI24,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.078728915,10.3,178.437,4.0,178.437,35.687400000000004,142.74960000000002
Low Fat,FDN01,Breakfast,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0,8.895,178.437,4.5,178.437,35.687400000000004,142.74960000000002
Regular,FDA52,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.128682722,16.2,178.437,3.6,178.437,35.687400000000004,142.74960000000002
Regular,FDG20,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.126199917,15.5,178.4028,3.5,178.4028,35.68056000000001,142.72224
Low Fat,FDC23,Starchy Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.017979145,18.0,178.3686,4.1,178.3686,35.673719999999996,142.69487999999998
Low Fat,DRN47,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.016921927,12.1,178.366,5.0,178.366,35.6732,142.6928
Low Fat,FDS60,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.032442388,20.85,178.366,4.1,178.366,35.6732,142.6928
Regular,FDA52,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.128397995,16.2,178.337,3.9,178.337,35.6674,142.6696
Low Fat,FDR21,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.067039526,19.7,178.337,4.2,178.337,35.6674,142.6696
Low Fat,FDY27,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.032028115,6.38,178.3344,3.9,178.3344,35.66688,142.66752
Low Fat,FDR26,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.042923652,20.7,178.3028,3.6,178.3028,35.66056,142.64224
Low Fat,FDR26,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.04280113,20.7,178.3028,4.0,178.3028,35.66056,142.64224
Low Fat,FDM39,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.053688479,6.42,178.3002,4.0,178.3002,35.66004,142.64015999999998
Low Fat,NCO18,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.024630755,13.15,178.2686,4.1,178.2686,35.65372,142.61488
Low Fat,FDS01,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0,11.6,178.2686,4.0,178.2686,35.65372,142.61488
Low Fat,FDA45,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.155350299,21.25,178.237,3.7,178.237,35.6474,142.5896
Regular,FDN04,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.014166739,11.8,178.2344,4.2,178.2344,35.64688,142.58751999999998
Regular,FDD10,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.046114018,20.6,178.2344,3.3,178.2344,35.64688,142.58751999999998
Regular,FDG20,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.125687917,15.5,178.2028,2.0,178.2028,35.64056,142.56224
Regular,FDG20,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,0.210375806,15.5,178.2028,4.3,178.2028,35.64056,142.56224
Regular,FDV57,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.0,15.25,178.166,4.0,178.166,35.6332,142.5328
Low Fat,DRN47,Hard Drinks,2011,OUT010,Tier 3,Medium,Grocery Store,0.028164527,12.1,178.166,4.0,178.166,35.6332,142.5328
Low Fat,FDX09,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.065515067,9.0,178.137,4.0,178.137,35.6274,142.5096
Regular,FDW60,Baking Goods,2015,OUT045,Tier 2,High,Supermarket Type1,0.017096552,5.44,178.137,4.0,178.137,35.6274,142.5096
Regular,FDA52,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.128315409,16.2,178.137,4.2,178.137,35.6274,142.5096
Regular,FDD10,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0,20.6,178.1344,4.3,178.1344,35.62688,142.50752
Low Fat,DRI03,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.022796178,6.03,178.1028,4.0,178.1028,35.620560000000005,142.48224
Low Fat,DRI03,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.0226848,6.03,178.1028,4.0,178.1028,35.620560000000005,142.48224
LF,FDM39,Dairy,2011,OUT010,Tier 3,Small,Grocery Store,0.089498926,6.42,178.1002,3.9,178.1002,35.62004,142.48016
Low Fat,FDO36,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.078034976,19.7,178.066,2.0,178.066,35.6132,142.4528
Low Fat,FDR23,Breads,2014,OUT013,Tier 3,High,Supermarket Type1,0.081719458,15.85,178.037,4.0,178.037,35.607400000000005,142.4296
reg,FDD10,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.046208155,20.6,178.0344,4.0,178.0344,35.606880000000004,142.42752000000002
Low Fat,FDY27,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.031962866,6.38,178.0344,3.8,178.0344,35.606880000000004,142.42752000000002
Low Fat,FDS01,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.017744999,11.6,177.9686,4.0,177.9686,35.593720000000005,142.37488000000002
Low Fat,FDM28,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.045274134,15.7,177.966,3.9,177.966,35.5932,142.3728
Regular,FDV57,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.065999008,15.25,177.966,4.0,177.966,35.5932,142.3728
LF,NCS54,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.010033871,13.6,177.937,4.1,177.937,35.5874,142.3496
Low Fat,FDS08,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.05695045,5.735,177.937,4.0,177.937,35.5874,142.3496
Low Fat,FDV31,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,0.178622919,9.8,177.937,5.0,177.937,35.5874,142.3496
Low Fat,FDI26,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.034880143,5.94,177.9344,3.8,177.9344,35.58688,142.34752
Low Fat,NCL53,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.036382524,7.5,177.9028,4.6,177.9028,35.580560000000006,142.32224000000002
Low Fat,DRI03,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.022703693,6.03,177.9028,4.3,177.9028,35.580560000000006,142.32224000000002
Low Fat,NCV29,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.022843501,11.8,177.8686,3.3,177.8686,35.57372,142.29487999999998
Regular,FDK10,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.040523265,5.785,177.866,4.3,177.866,35.57320000000001,142.2928
Low Fat,FDS60,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.032448523,20.85,177.866,4.3,177.866,35.57320000000001,142.2928
Low Fat,NCP43,Others,2015,OUT045,Tier 2,Small,Supermarket Type1,0.030568919,17.75,177.866,3.7,177.866,35.57320000000001,142.2928
Low Fat,FDR26,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.04307908,20.7,177.8028,4.0,177.8028,35.56056,142.24223999999998
Low Fat,FDE45,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.040357315,12.1,177.8002,3.8,177.8002,35.56004,142.24016
Low Fat,FDO36,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.077899109,19.7,177.766,2.3,177.766,35.5532,142.2128
LF,FDX09,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.065194971,9.0,177.737,3.5,177.737,35.5474,142.18959999999998
Low Fat,DRM35,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.070843019,9.695,177.7344,4.0,177.7344,35.54688,142.18752
Low Fat,FDA45,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.155694794,21.25,177.637,4.0,177.637,35.5274,142.1096
Low Fat,FDI24,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.078903499,10.3,177.637,4.0,177.637,35.5274,142.1096
Low Fat,FDR23,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.081914677,15.85,177.637,4.3,177.637,35.5274,142.1096
Low Fat,NCC30,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.027622076,16.6,177.6344,3.9,177.6344,35.52688,142.10752
Low Fat,FDR26,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,0.071699984,20.7,177.6028,4.2,177.6028,35.52056,142.08224
Regular,FDM25,Breakfast,2020,OUT017,Tier 2,High,Supermarket Type1,0.061008889,10.695,177.5712,4.0,177.5712,35.51424,142.05696
Low Fat,NCF42,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.280164929,17.35,177.5712,4.4,177.5712,35.51424,142.05696
Low Fat,NCO18,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.024790707,13.15,177.5686,4.0,177.5686,35.51372,142.05488
Low Fat,NCV29,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.038235337,11.8,177.5686,4.2,177.5686,35.51372,142.05488
Low Fat,FDR21,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.066935459,19.7,177.537,4.9,177.537,35.507400000000004,142.02960000000002
Low Fat,DRM35,Hard Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.070431235,9.695,177.5344,4.0,177.5344,35.50688,142.02752
Low Fat,NCO18,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.024646608,13.15,177.4686,3.3,177.4686,35.49372,141.97488
Low Fat,FDR23,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.082120687,15.85,177.437,4.1,177.437,35.4874,141.9496
Low Fat,FDN01,Breakfast,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.072511335,8.895,177.437,4.0,177.437,35.4874,141.9496
Regular,FDD10,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.046280998,20.6,177.4344,4.3,177.4344,35.486880000000006,141.94752
LF,FDY27,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.031898175,6.38,177.4344,4.7,177.4344,35.486880000000006,141.94752
Regular,FDW57,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0,8.31,177.4028,4.1,177.4028,35.480560000000004,141.92224000000002
LF,NCL53,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.060649825,7.5,177.4028,3.0,177.4028,35.480560000000004,141.92224000000002
Low Fat,FDS01,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.017780986,11.6,177.3686,4.0,177.3686,35.47372,141.89488
Low Fat,FDA45,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.156012631,21.25,177.337,5.0,177.337,35.4674,141.8696
Low Fat,FDI26,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.034940979,5.94,177.3344,3.0,177.3344,35.466879999999996,141.86751999999998
Regular,FDW57,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.115911972,8.31,177.3028,4.0,177.3028,35.46056,141.84224
Low Fat,FDE45,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0,12.1,177.3002,4.0,177.3002,35.46004,141.84016
Regular,FDQ40,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.036020711,11.1,177.2712,3.7,177.2712,35.45424,141.81696
Regular,FDQ40,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.036027524,11.1,177.2712,4.2,177.2712,35.45424,141.81696
Regular,FDD10,Snack Foods,2011,OUT010,Tier 3,Small,Grocery Store,0.077029195,20.6,177.2344,3.8,177.2344,35.44688,141.78752
Low Fat,FDR26,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.043011277,20.7,177.2028,3.8,177.2028,35.44056,141.76224
Low Fat,FDW49,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.082536604,19.5,177.2002,4.3,177.2002,35.44004,141.76015999999998
Low Fat,FDI26,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.03495749,5.94,177.1344,4.0,177.1344,35.426880000000004,141.70752
Regular,FDD56,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.104365283,15.2,177.1054,3.9,177.1054,35.42108,141.68432
Low Fat,NCY18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.031214809,7.285,177.1054,4.0,177.1054,35.42108,141.68432
Low Fat,FDS01,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.017817285,11.6,177.0686,4.0,177.0686,35.413720000000005,141.65488
LF,NCV29,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.022824491,11.8,177.0686,3.9,177.0686,35.413720000000005,141.65488
Low Fat,FDI24,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.078678276,10.3,177.037,4.0,177.037,35.4074,141.6296
Low Fat,FDN01,Breakfast,2011,OUT010,Tier 3,Medium,Grocery Store,0.121180705,8.895,177.037,4.0,177.037,35.4074,141.6296
Regular,FDD10,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.045982389,20.6,177.0344,4.2,177.0344,35.40688,141.62752
Regular,FDV11,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,0.081652352,9.1,177.0054,3.9,177.0054,35.40108,141.60432
Regular,FDD56,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.103758647,15.2,177.0054,4.0,177.0054,35.40108,141.60432
Regular,FDD56,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.103988736,15.2,177.0054,4.0,177.0054,35.40108,141.60432
Regular,FDG20,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.12639886,15.5,177.0028,4.0,177.0028,35.400560000000006,141.60224
Regular,FDQ40,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.035997543,11.1,176.9712,4.1,176.9712,35.39424,141.57696
Regular,FDW39,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.0,6.69,176.937,4.0,176.937,35.38740000000001,141.5496
LF,DRM35,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.070587419,9.695,176.9344,2.9,176.9344,35.386880000000005,141.54752000000002
Regular,FDW57,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.116331694,8.31,176.9028,4.0,176.9028,35.38056,141.52224
Low Fat,NCO18,Household,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.024701262,13.15,176.8686,4.2,176.8686,35.37372,141.49488
Regular,FDW39,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.037060755,6.69,176.837,4.0,176.837,35.367399999999996,141.46959999999999
Low Fat,NCE55,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.130191993,8.92,176.837,4.0,176.837,35.367399999999996,141.46959999999999
Regular,FDN04,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.014075334,11.8,176.8344,4.9,176.8344,35.36688,141.46751999999998
Low Fat,NCF42,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.168329848,17.35,176.7712,3.6,176.7712,35.35424,141.41696
Low Fat,NCS54,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.010008699,13.6,176.737,4.5,176.737,35.3474,141.3896
Low Fat,DRI03,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.022832115,6.03,176.7028,4.0,176.7028,35.34056,141.36223999999999
Low Fat,NCC30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.027573983,16.6,176.6344,3.6,176.6344,35.32688,141.30752
Low Fat,NCC30,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.027556247,16.6,176.6344,4.0,176.6344,35.32688,141.30752
Low Fat,NCC30,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.046161923,16.6,176.6344,4.4,176.6344,35.32688,141.30752
Regular,FDD56,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.104201619,15.2,176.5054,4.2,176.5054,35.301080000000006,141.20432
Low Fat,FDX09,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.065236932,9.0,176.437,4.0,176.437,35.287400000000005,141.14960000000002
Low Fat,NCS54,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.010013429,13.6,176.437,4.0,176.437,35.287400000000005,141.14960000000002
Low Fat,FDR23,Breads,2011,OUT010,Tier 3,Medium,Grocery Store,0.13689554,15.85,176.437,4.1,176.437,35.287400000000005,141.14960000000002
Low Fat,FDI26,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.035084073,5.94,176.4344,3.0,176.4344,35.286880000000004,141.14752000000001
Low Fat,DRI03,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0226994,6.03,176.4028,4.0,176.4028,35.28056,141.12224
Low Fat,NCF42,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.167722519,17.35,176.3712,4.2,176.3712,35.27424,141.09696
Regular,FDJ44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.106492562,12.3,176.3396,3.1,176.3396,35.26792,141.07168
Low Fat,FDS08,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.05696122,5.735,176.337,4.0,176.337,35.2674,141.06959999999998
Regular,FDB02,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.029140008,9.695,176.337,4.0,176.337,35.2674,141.06959999999998
Low Fat,NCF42,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.168064909,17.35,176.2712,3.0,176.2712,35.25424,141.01695999999998
Low Fat,NCF42,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.167243769,17.35,176.2712,4.2,176.2712,35.25424,141.01695999999998
Low Fat,FDN01,Breakfast,2015,OUT045,Tier 2,Small,Supermarket Type1,0.072545601,8.895,176.237,4.1,176.237,35.2474,140.9896
Low Fat,FDR23,Breads,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.081953387,15.85,176.237,3.3,176.237,35.2474,140.9896
reg,DRC36,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.044976367,13.0,176.2054,4.0,176.2054,35.241080000000004,140.96432
Regular,FDJ44,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.106238768,12.3,176.1396,4.5,176.1396,35.227920000000005,140.91168
LF,FDI45,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.037549969,13.1,176.1054,2.4,176.1054,35.22108,140.88432
Low Fat,NCL53,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.036204764,7.5,176.1028,4.0,176.1028,35.22056,140.88224
Regular,FDQ40,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.036174285,11.1,176.0712,4.4,176.0712,35.214240000000004,140.85696000000002
Low Fat,NCF42,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.167351411,17.35,176.0712,3.2,176.0712,35.214240000000004,140.85696000000002
Low Fat,NCV29,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.022879017,11.8,176.0686,4.0,176.0686,35.21372,140.85488
Low Fat,NCS54,Household,2011,OUT010,Tier 3,Medium,Grocery Store,0.016726506,13.6,176.037,1.0,176.037,35.2074,140.8296
Low Fat,NCY18,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.031278532,7.285,176.0054,4.0,176.0054,35.201080000000005,140.80432000000002
reg,FDW57,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.116148596,8.31,176.0028,4.2,176.0028,35.20056,140.80224
Regular,FDG20,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.125942816,15.5,176.0028,4.0,176.0028,35.20056,140.80224
LF,FDN01,Breakfast,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.072693696,8.895,175.937,4.0,175.937,35.187400000000004,140.74960000000002
Regular,FDQ40,Frozen Foods,2011,OUT010,Tier 3,High,Grocery Store,0.060302689,11.1,175.8712,4.3,175.8712,35.17424,140.69696
Low Fat,FDI45,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.037657459,13.1,175.8054,5.0,175.8054,35.16108,140.64432
Regular,FDD56,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,0.173703549,15.2,175.8054,4.0,175.8054,35.16108,140.64432
Low Fat,FDR26,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.042836778,20.7,175.8028,4.0,175.8028,35.16056,140.64224
Regular,FDU51,Meat,2015,OUT045,Tier 2,High,Supermarket Type1,0.096709408,20.2,175.8028,4.5,175.8028,35.16056,140.64224
Regular,FDG35,Starchy Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.007069662,21.2,175.7738,4.0,175.7738,35.15476,140.61903999999998
Low Fat,FDA45,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.155250377,21.25,175.737,3.5,175.737,35.1474,140.5896
Low Fat,NCF42,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.167383061,17.35,175.6712,4.3,175.6712,35.13424,140.53696
Regular,FDD56,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.10377827,15.2,175.6054,4.3,175.6054,35.12108,140.48432
Low Fat,FDI45,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.037639672,13.1,175.6054,4.3,175.6054,35.12108,140.48432
Regular,FDU51,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.096495426,20.2,175.6028,4.6,175.6028,35.120560000000005,140.48224
Low Fat,FDK44,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.122475364,16.6,175.5738,4.5,175.5738,35.114760000000004,140.45904000000002
Low Fat,FDZ19,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.093983518,6.425,175.5712,4.2,175.5712,35.11424,140.45696
Low Fat,NCS54,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.009991273,13.6,175.537,4.0,175.537,35.107400000000005,140.4296
reg,FDA52,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.128621941,16.2,175.537,4.0,175.537,35.107400000000005,140.4296
Low Fat,FDI45,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.037581243,13.1,175.5054,5.0,175.5054,35.10108,140.40432
Regular,FDU51,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.096906831,20.2,175.5028,4.3,175.5028,35.10056,140.40224
Low Fat,FDH19,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.033088472,19.35,175.4738,3.5,175.4738,35.09476,140.37904
Regular,FDQ40,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.036083537,11.1,175.4712,4.6,175.4712,35.094240000000006,140.37696
Low Fat,DRF23,Hard Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.122629121,4.61,175.4396,4.0,175.4396,35.087920000000004,140.35168000000002
Regular,FDB02,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.029223424,9.695,175.437,4.0,175.437,35.0874,140.3496
Low Fat,NCS54,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.009984847,13.6,175.437,4.5,175.437,35.0874,140.3496
Low Fat,FDX09,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.065350715,9.0,175.437,4.2,175.437,35.0874,140.3496
Low Fat,NCL53,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.036308404,7.5,175.4028,3.7,175.4028,35.080560000000006,140.32224000000002
Low Fat,FDZ19,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.093454899,6.425,175.3712,4.5,175.3712,35.074239999999996,140.29695999999998
Low Fat,FDV31,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.106933748,9.8,175.337,4.0,175.337,35.0674,140.2696
Low Fat,NCL53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.036439878,7.5,175.3028,4.4,175.3028,35.06056,140.24223999999998
Low Fat,NCL53,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.036234918,7.5,175.3028,3.3,175.3028,35.06056,140.24223999999998
Low Fat,DRF23,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.123151947,4.61,175.2396,3.0,175.2396,35.04792,140.19168
Low Fat,NCE55,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.130663423,8.92,175.237,4.0,175.237,35.0474,140.18959999999998
LF,FDV31,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0,9.8,175.237,4.0,175.237,35.0474,140.18959999999998
Low Fat,NCL54,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.082921642,12.6,175.2054,4.6,175.2054,35.04108,140.16432
Low Fat,NCL53,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.036228067,7.5,175.2028,4.0,175.2028,35.04056,140.16224
Regular,FDB02,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.029283081,9.695,175.137,5.0,175.137,35.0274,140.1096
Low Fat,FDR21,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.067314073,19.7,175.137,3.3,175.137,35.0274,140.1096
Regular,FDW39,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.036903419,6.69,175.137,4.0,175.137,35.0274,140.1096
Low Fat,DRI03,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0,6.03,175.1028,4.7,175.1028,35.02056,140.08224
Regular,FDQ40,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.03623131,11.1,175.0712,3.9,175.0712,35.01424,140.05696
